Type of Contact,TypeofOrganization,Subtype,Name of Organization,City,Province,Office or Location or Program,Alternate or Previous Name,Mailing Address,Physical Address,Directions to Address,Postal Code,Phone 1,Phone 1 Ext,Phone 2,Toll Free 1,Toll Free 1 Ext,Fax 1,Fax 2,Email 1,Email 2,Website 1,Website 2,Affiliations,Pronunciation,Region,Region Number,INAC #
First Nations,First Nation Communities,,Scia'new First Nation,Sooke,BC,,Beecher Bay First Nation,4901B East Sooke Rd.,,,V9Z 1B6,250-478-3535,,,1-888-543-6344,,250-478-3585,,bb.fn@telus.net,,www.beecherbaybc.com,,,chee-a-new,Vancouver Island/Coast,2,640
First Nations,Treaty Offices,,Scia'new Treaty Office,Sooke,BC,(for Beecher Bay),Beecher Bay Treaty Office,4901D East Sooke Rd.,,,V9Z 1N9,250-391-1802,,,,,,,,,www.temexw.org/,,Te'mexw Treaty Association,chee-a-new,Vancouver Island/Coast,2,
Previous Name,First Nation Communities,,Scowlitz First Nation,Lake Errock,BC,,see Sqewlets First Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Scw'exmx Child and Family Services Society,Merritt,BC,,,2975 Clapperton Ave.,,,V1K 1G2,250-378-2771,,,1-877-378-2773,,250-378-2799,,reception@scwexmx.com,,www.scwexmx.com,,"Coldwater, Lower Nicola, Nooaitch, Shackan, Upper Nicola",shwa-come,Thompson/Okanagan,4,
Services and Agencies,Health Services,,Scw'exmx Community Health Services Society,Merritt,BC,,,PO Box 3090,103-2090 Coutlee St.,,V1K 1B8,250-378-9745,,,1-888-667-2477,,250-378-4962,,Health-Clerk@schss.com,,www.schss.com,,,shwa-come,Thompson/Okanagan,4,
Services and Agencies,"Employment, Job Search and Placement",,Seabird Island Band Employment and Training Centre,Agassiz,BC,,,PO Box 650,2895 Chowat Rd.,,V0M 1A0,604-796-2177,,,1-800-788-0322,,604-796-3729,,,,www.seabirdisland.ca,,Sto:lo Tribal Council,,Mainland/Southwest,3,
First Nations,First Nation Communities,,Seabird Island Indian Band,Agassiz,BC,,,PO Box 650,2895 Chowat Rd.,,V0M 1A0,604-796-2177,,,,,604-796-3729,,reception@seabirdisland.ca,,www.seabirdisland.ca,,Sto:lo Tribal Council,,Mainland/Southwest,3,581
Previous Name,First Nation Communities,,Sechelt Indian Band,Sechelt,BC,,see shíshálh Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Sechelt Indian Band Child & Family Services,Sechelt,BC,,,PO Box 740,5559 Sunshine Coast Hwy.,,V0N 3A0,604-885-9404,,,1-866-885-2275,,604-885-6392,,swatters@secheltnation.net ,Shyanne.watters@gov.bc.ca,http://www.shishalh.com/ ,,Sechelt Indian Band,see-shelt,Mainland/Southwest,3,
Services and Agencies,Arts and Culture,First Nations Child and Family Services Agencies,Secwepemc Child and Family Services Agency,Kamloops,BC,,,300 Chilcotin Rd.,,,V2H 1G3,250-314-9669,,,1-866-314-9669,,250-314-9609,,ashley.methot@gov.bc.ca,michelle.mcmaster@gov.bc.ca,www.secwepemcfamilies.org,,"Secwepemc Nation, Adams Lake, Bonaparte, Kamloops, Neskonlith, North Thompson, Skeetchestn, Whispering Pines",sec-wep-emc,Thompson/Okanagan,4,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Secwepemc Child and Family Services Agency,Kamloops,BC,Intake and Urban Family Services,,285 Seymour St.,,,V2C 2E7,250-461-7237,,,1-866-314-9669,,236-421-1620,,ashley.methot@gov.bc.ca,michelle.mcmaster@gov.bc.ca,www.secwepemcfamilies.org,,"Secwepemc Nation, Adams Lake, Bonaparte, Kamloops, Neskonlith, North Thompson, Skeetchestn, Whispering Pines",sec-wep-emc,Thompson/Okanagan,4,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Secwepemc Child and Family Services Agency,Kamloops,BC,"Guardianship, Resources, Rural Family Service, Family Finder/Kinship",,300 Chilcotin Rd.,,,V2H 1G3,250-314-9669,,,1-866-314-9669,,250-314-9609,,ashley.methot@gov.bc.ca,michelle.mcmaster@gov.bc.ca,www.secwepemcfamilies.org,,"Secwepemc Nation, Adams Lake, Bonaparte, Kamloops, Neskonlith, North Thompson, Skeetchestn, Whispering Pines",sec-wep-emc,Thompson/Okanagan,4,
Services and Agencies,Health Services,First Nations Child and Family Services Agencies,Secwepemc Child and Family Services Agency,Kamloops,BC,"Mental Health/Wellness, AIDP/ASCD",,300 Chilcotin Rd.,,,V2H 1G3,250-314-9669,,,1-866-314-9669,,250-314-9609,,ashley.methot@gov.bc.ca,michelle.mcmaster@gov.bc.ca,www.secwepemcfamilies.org,,"Secwepemc Nation, Adams Lake, Bonaparte, Kamloops, Neskonlith, North Thompson, Skeetchestn, Whispering Pines",sec-wep-emc,Thompson/Okanagan,4,
Services and Agencies,Arts and Culture,,Secwepemc Cultural Education Society,Kamloops,BC,,,4 - 685 Tranquille Rd.,,,V2H 1J1,778-471-7778,,,,,778-471-7779,,sces.seniorexecmgr@shaw.ca,sces.reception@shaw.ca,www.secwepemc.org,,Shuswap Nation,sec-wep-emc,Thompson/Okanagan,4,
Services and Agencies,Education,,Secwepemc Cultural Education Society,Kamloops,BC,SCES Adult Education Program,,4 - 685 Tranquille Rd.,,,V2H 1J1,778-471-7778,,,,,778-471-7779,,sces.seniorexecmgr@shaw.ca,sces.reception@shaw.ca,www.secwepemc.org,,Secwepemc Cultural Education Society,sec-wep-emc,Thompson/Okanagan,4,
First Nations,First Nation Communities,,Semiahmoo First Nation,Surrey,BC,,,16049 Beach Rd.,,,V3S 9R6,604-536-3101,,,,,604-536-6116,,mail@semiahmoofirstnation.org,,,,,semi-ah-moo,Mainland/Southwest,3,569
Services and Agencies,Arts and Culture,,Sen'klip Native Theatre Company,Vernon,BC,,,2904 29th Ave.,,,V1T 1Y7,250-549-2921,,,,,250-542-3707,,,,,,First Nations Friendship Centre,,Thompson/Okanagan,4,
Previous Name,First Nation Communities,,Seton Lake Band,Shalalth,BC,,see Tsal'alh,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Health Services,,Sexqeltqin Health Centre,Chase,BC,,,PO Box 1009,6424 Hillcrest Rd.,,V0E 1M0,250-679-7726,,,1-877-679-8841,,250-679-2234,,receptionist@alib.ca,,www.adamslakeband.org,,Adams Lake Indian Band,se-kell-keen,Thompson/Okanagan,4,
First Nations,First Nation Communities,,Shackan Indian Band,Merritt,BC,,,PO Box 1360,2099 Granite Ave. ,,V1K 1B8,250-378-5410,,,,,250-378-5219,,crystal.leier@shackan.ca,,http://www.shackan.ca,,Nicola Tribal Association,shack-n,Thompson/Okanagan,4,698
First Nations,First Nation Communities,,shíshálh Nation,Sechelt,BC,,Sechelt Indian Band,PO Box 740,5555 Sunshine Coast Hwy.,,V0N 3A0,604-885-2273,,,1-866-885-2275,,604-885-3490,,hello@shishalh.com,,www.secheltnation.ca,,,see-shelt,Mainland/Southwest,3,551
Services and Agencies,Family and Youth Services,,Shuswap Family Resource and Referral Centre,Salmon Arm,BC,,,PO Box 914,181 Trans-Canada Hwy. NE,,V1E 4P1,250-832-2170,,,,,250-833-0137,,sfrrcinfo@familyresource.bc.ca,,www.familyresource.bc.ca,,,shoo-shwahp,Thompson/Okanagan,4,
First Nations,First Nation Communities,,Shuswap Indian Band,Invermere,BC,,,"RR#2, 3A - 492 Arrow Rd.",,,V0A 1K2,250-341-3678,,,1-833-847-0727 ,,250-341-3683,,reception@shuswapband.net,,www.shuswapband.net,,Shuswap Nation Tribal Council,shoo-shwahp,Kootenay,5,605
Services and Agencies,"Employment, Job Search and Placement",Aboriginal Skills and Employment Training Strategy (ASETS) Offices,Shuswap Nation Tribal Council,Kamloops,BC,,,680 Athabasca St. W,,,V2H 1C4,778-471-8204,,,1-844-471-8204,,778-471-5804,,adminasets@asets.org,,http://shuswapnation.org/training-employment/,,Aboriginal Training Employment Centre (ATEC),shoo-shwahp,Thompson/Okanagan,4,
First Nations,Tribal Councils/Affiliations,,Shuswap Nation Tribal Council,Kamloops,BC,,,680 Athabasca St. W.,,,V2H 1C4,778-471-8200,,,,,778-471-5804,,sntcadmn@shuswapnation.org   ,,www.shuswapnation.org,,"Adams Lake, Bonaparte, Kamloops, Little Shuswap, Neskonlith, Simpcw First Nation, Skeetchestn, Whispering Pines, Shuswap Band, Splats'in First Nation",shoo-shwahp,Thompson/Okanagan,4,
First Nations,First Nation Communities,,Shxw’?whámél First Nation,Hope,BC,,,58700A St. Elmo Rd.,,,V0X 1L2,604-869-2627,,,,,604-869-9903,,secretary@shxwowhamel.ca,,,,Sto:lo Tribal Council,shwah-ham-ul,Mainland/Southwest,3,587
First Nations,First Nation Communities,,Shxwha:y Village,Chilliwack,BC,,Skway First Nation,44680 Schweyey Rd.,,,V2R 5M5,604-792-9316,,,1-877-792-9316,,604-792-9317,,recept@skway.com,,www.skway.com,,Sto:lo Nation,shwhy,Mainland/Southwest,3,570
Services and Agencies,Education,,Simon Fraser University,Burnaby,BC,Office for Aboriginal Peoples,,AQ 3140 - 888 University Dr.,,,V5A 1S6,778-782-8925,,,,,778-782-8926,,ggeorge@sfu.ca,,,,,,Mainland/Southwest,3,
Services and Agencies,Education,,Simon Fraser University,Burnaby,BC,,,8888 University Dr.,,,V5A 1S6,778-782-6891,,,,,778-782-5732,,indigenous_students@sfu.ca,,www.sfu.ca,,"SFU Indigenous Student Centre, First Nations Studies, SFU Student Services",,Mainland/Southwest,3,
First Nations,First Nation Communities,,Simpcw First Nation,Barriere,BC,,North Thompson Indian Band,PO Box 220,500 Dunn Lake Rd.,,V0E 1E0,250-672-9995,,,1-800-678-1129,,250-672-5858,,reception@simpcw.com,,www.simpcw.com,,Shuswap Nation Tribal Council,sim-ka,Thompson/Okanagan,4,691
Services and Agencies,Education,,Singing Frog Aboriginal Head Start Preschool,Vancouver,BC,,,2150 McLean Dr.,,,V5N 5X9,604-253-5388,,,,,604-253-5282,,coordinator@sf.acc-society.bc.ca,,,,BC Aboriginal Child Care Society,,Mainland/Southwest,3,
First Nations,First Nation Communities,,Siska Indian Band,Lytton,BC,,,PO Box 519,12km South of Lytton - Trans Canada Hwy.,,V0K 1Z0,250-455-2219,,,,,250-455-2539,,,,,,Nicola Tribal Council,sis-ka,Thompson/Okanagan,4,706
First Nations,First Nation Communities,,Skatin Nations,Pemberton,BC,,,PO Box 190,,,V0N 2L0,msg only : 604-239-8857,,,,,,,geneva.quipp@hotmail.com,,,,"LSTC (Lower Stl'atl'imx Tribal Council), SSHS (Southern Stl'atl'imx Health Society), SGS (St'at'imc Governance Society), STP (St'at'imc Tribal Police)",skah-teen,Mainland/Southwest,3,562
First Nations,First Nation Communities,,Skawahlook First Nation,Agassiz,BC,,,58611A Lougheed Hwy,,,V0M 1A2,604-796-9129,,,,,604-796-9289,,sharskawahlook@gmail.com,,www.skawahlook.com,,Sto:lo Nation,skow-look,Mainland/Southwest,3,582
First Nations,First Nation Communities,,Skeetchestn Indian Band,Savona,BC,,Deadman's Creek Band,"330 Main Dr., PO Box 178",,,V0K 2J0,250-373-2493,,,1-866-373-2493,,250-373-2494,,mainoffice@skeetchestn.ca,,www.skeetchestn.ca,,Shuswap Nation Tribal Council,,Thompson/Okanagan,4,687
First Nations,First Nation Communities,,Skidegate Band Council,Skidegate,BC,,,PO Box 1301,Hwy .16 Commercial Center,,V0T 1S1,250-559-4496,,,,,250-559-8247,,bandmanager@skidegate.ca,,www.skidegate.ca,,Council of Haida Nation,skid-eh-get,North Coast,7,670
First Nations,First Nation Communities,,Skin Tyee Nation,Southbank,BC,,,PO Box 131,6941 Campbell Rd.,,V0J 2P0,250-694-3517,,,,,250-694-3268,,admin@skintyeenation.ca,,,,Ganhata Management Group,skin-tye-ee,Nechako,8,726
First Nations,First Nation Communities,,Skowkale First Nation,Chilliwack,BC,,,PO Box 2159,7686 Chilliwack River Rd.,,V2R 1A7,604-792-0730,,,,,,,,,,,Sto:lo Nation,skow-cale,Mainland/Southwest,3,571
First Nations,First Nation Communities,,Skuppah Indian Band,Lytton,BC,,,PO Box 548,,,V0K 1Z0,250-455-2279,,,,,250-455-2772,,,,,,Skuppa First Nation Health,scup-pa,Thompson/Okanagan,4,707
Services and Agencies,Housing Services,Residential,Skwachays Lodge,Vancouver,BC,Skwachays Lodge Artist In Residence Program,,29/31 West Pender St.,,,V6B 1R3,604-685-1076,,,,,,,airinquiries@skwachays.com,,www.skwachays.com/artist-in-residence,,Vancouver Native Housing Society,,Mainland/Southwest,3,
First Nations,First Nation Communities,,Skwah First Nation,Chilliwack,BC,,,PO Box 178,615 Wellington Ave.,,V2P 6H7,604-792-9204,,,,,604-792-1093,,,,,,,skwah,Mainland/Southwest,3,573
Previous Name,First Nation Communities,,Skway First Nation,Chilliwack,BC,,see Shxwha:y Village,,,,,,,,,,,,,,,,,sh-why,Unassigned,1,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Slelemw Child Development Centre,Brentwood Bay,BC,,,PO Box 368,7449 West Saanich Rd.,,V8M 1R3,250-652-0074,"ext 273, director ext 256",,,,250-652-6929,,,,,,Saanich Adult Education Centre,sull-ay-mu,Vancouver Island/Coast,2,
Services and Agencies,Business and Economic Development,,Sliammon Development Corporation,Powell River,BC,,,4885 Hwy 101,,,V8A 4Z3,604-483-7777,,,,,604-483-7741,,devcorp@shawcable.com,,http://www.tlaaminnation.com/,,Naut'sa mawt Tribal Council,sly-am-mon,Vancouver Island/Coast,2,
Previous Name,First Nation Communities,,Snaw-Naw-As First Nation,Lantzville,BC,,see Nanoose First Nation,,,,,,,,,,,,,,,,,snaw-naw-as,Unassigned,1,
Services and Agencies,Business and Economic Development,,Snaza'ist Discovery Centre,Hedley,BC,,,PO Box 220,"161 Snaza'ist St., Hedley, BC  V0K 1K0",,V0X 1K0,250-292-8733,,,,,250-292-8753,,info@mascotmine.com,,www.mascotmine.com,,Upper Similkameen Indian Band,snaw-zay-ist,Thompson/Okanagan,4,
Services and Agencies,Arts and Culture,,Snc'c'amala?tn Okanagan Indian Band Early Childhood Education Centre,Vernon,BC,,,12420 Westside Rd.,,,V1H 2A4,250-545-3800,,,,,250-545-4553,,okibdc@okanagan.org,,https://www.okib.ca,,Okanagan Indian Band,sun-chich-she-mall-it-ton,Thompson/Okanagan,4,
Services and Agencies,Education,,Snc'c'amala?tn Okanagan Indian Band Early Childhood Education Centre,Vernon,BC,,,12420 Westside Rd.,,,V1H 2A4,250-545-3800,,,,,250-545-4553,,okibdc@okanagan.org,,www.okib.ca,,Okanagan Indian Band,sun-chich-she-mall-it-ton,Thompson/Okanagan,4,
First Nations,First Nation Communities,,Snuneymuxw First Nation,Nanaimo,BC,,,668 Centre St.,,,V9R 4Z4,250-740-2300,,,1-888-636-8789,,250-753-3492,,,,www.snuneymuxw.ca,,"Naut'sa mawt Tribal Council, Intertribal Health Authority, Kwumet-le-lum",snue-ney-mowck,Vancouver Island/Coast,2,648
Services and Agencies,Health Services,,Snuneymuxw First Nation Health Centre,Nanaimo,BC,,,668B Centre St.,,,V9R 4Z4,250-740-2337,,,1-866-736-4584,,250-753-5221,,health@snuneymuxw.ca,,www.snuneymuxw.ca,,Snuneymuxw First Nation,snue-ney-mowck,Vancouver Island/Coast,2,
Previous Name,First Nation Communities,,Soda Creek Indian Band,Williams Lake,BC,,see Xat'súll First Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
First Nations,First Nation Communities,,Songhees Nation,Victoria,BC,,,1100 Admirals Rd.,,,V9A 2P6,250-386-1043,,,1-888-386-1043,,250-386-4161,,,,www.songheesnation.com,,"Te'mexw Treaty Association, Nil/tu'o Child and Family Services",song-geez,Vancouver Island/Coast,2,656
First Nations,Treaty Offices,,Songhees Treaty Office,Victoria,BC,,,1100 Admirals Rd.,,,V9A 2P6,250-386-1043,Ext. 106,,,,250-386-4161,,,,,,Te'mexw Treaty Association,song-geez,Vancouver Island/Coast,2,
First Nations,First Nation Communities,,Soowahlie Indian Band,Cultus Lake,BC,,,4172 Soowahlie Rd.,,,V2R 4Y2,604-858-4603,(Health Services),604-858-4631,,,604-824-6751,,reception@soowahlie.ca,,www.soowahlie.ca,,Sto:lo Tribal Council,sue-wall-e,Mainland/Southwest,3,572
Services and Agencies,Arts and Culture,,South Island Wellness Society ,North Saanich,BC,,,992 Sunset Lane,,,V8L 5W8,778-426-2997,,,,,778-426-2998,,reception@siws.ca,,www.siws.ca,,,,Vancouver Island/Coast,2,
Services and Agencies,Family and Youth Services,,South Island Wellness Society ,North Saanich,BC,,,992 Sunset Lane,,,V8L 5W8,778-426-2997,,,,,778-426-2998,,reception@siws.ca,,www.siws.ca,,,,Vancouver Island/Coast,2,
Services and Agencies,Legal Services,Restorative Justice,South Island Wellness Society ,North Saanich,BC,,,992 Sunset Lane,,,V8L 5W8,778-426-2997,,,,,778-426-2998,,reception@siws.ca,,www.siws.ca,,,,Vancouver Island/Coast,2,
Métis,Métis Nation British Columbia and Chartered Communities,,South Okanagan Similkameen Métis Association,,BC,Thompson/Okanagan,,,,,,,,,1-800-940-1150,,,,oksimilkameencc@mnbc.ca,reception@mnbc.ca,http://www.sosma.ca,,MNBC,,Thompson/Okanagan,4,
Previous Name,Friendship Centres,,South Okanagan Urban Native Delegation Society (SOUNDS),Penticton,BC,,see OoknaKane Friendship Centre,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Health Services,,Southern Stl'atl'imx Health Society,Mount Currie,BC,,,PO Box 363,"#6 - 7327 Industrial Way, Pemberton, BC V0N 2L0 (Green Building, Back End)",,V0N 2K0,604-894-0151,,,,,604-894-0152,604-894-0153,hs_admin@telus.net,,,,"Representing the Communities of N'Quatqua, Samahquam Ucwalmicw, Skatin, Douglas First Nations",stat-lee-um,Mainland/Southwest,3,
Previous Name,First Nation Communities,,Spallumcheen Indian Band,Enderby,BC,,see Splatsin,,,,,,,,,,,,,,,,,,Unassigned,1,
First Nations,First Nation Communities,,Splatsin,Enderby,BC,,Spallumcheen Indian Band,PO Box 460,5775 Old Vernon Rd.,,V0E 1V0,250-838-6496,,,,,250-838-2131,,receptionist@splatsin.ca,,www.splatsin.ca,,"Shuswap Nation Tribal Council, Union of BC Indian Chiefs",spla-cheen,Thompson/Okanagan,4,600
First Nations,First Nation Communities,,Spuzzum First Nation, Spuzzum,BC,,,36500 Main Rd.,,,V0K 2S1,604-863-2395,,,,,604-863-2218,,receptionist@spuzzumnation.com,,http://www.spuzzumnation.com/,,Nlaka'pamux Nation Tribal Council,spuz-zum,Mainland/Southwest,3,708
First Nations,First Nation Communities,,Sqewlets First Nation,Lake Errock,BC,,Scowlitz First Nation,PO Box 76,,,V0M 1N0,604-826-5813,,,,,604-826-6222,,reception@sqewlets.ca,,,,Sto:lo Tribal Council,scow-litz,Mainland/Southwest,3,568
Services and Agencies,Arts and Culture,,Squamish Lil’wat Cultural Centre,Whistler,BC,,,4584 Blackcomb Way,,,V8E 0Y3,604-964-0990,,,1-866-441-7522,,604-964-0965,,info@slcc.ca,,https://slcc.ca/,,"Squamish Nation, Lil’wat Nation",,Mainland/Southwest,3,
Services and Agencies,Business and Economic Development,,Squamish Nation,North Vancouver,BC,Business Revenue & Services,,415 West Esplanade Ave.,,,V7M 1A6,604-982-0510,,,1-877-628-2288,(Squamish Nation Band Office),604-982-0515,,tom_butler@squamish.net,,www.squamish.net,,Squamish Nation,,Mainland/Southwest,3,
First Nations,First Nation Communities,,Squamish Nation,North Vancouver,BC,,,PO Box 86131,320 Seymour Blvd,,V7L 4J5,604-980-4553,,,1-877-628-2288,,604-980-4523,,,,www.squamish.net,,,squa-mish,Mainland/Southwest,3,555
Services and Agencies,Education,,Squamish Nation Employment and Training Centre,North Vancouver,BC,,,345 W. 5th St.,,,V7M 1K2,604-985-7711,,,,,604-988-8917,,,,www.squamish.net,,"Squamish Nation Stitsma Employment Centre, First Nation Employment Society",,Mainland/Southwest,3,
Services and Agencies,"Employment, Job Search and Placement",,Squamish Nation Employment and Training Centre,North Vancouver,BC,,,345 W. 5th St.,,,V7M 1K2,604-985-7711,,,,,604-988-8917,,,,www.squamish.net,,"Squamish Nation Stitsma Employment Centre, First Nation Employment Society",,Mainland/Southwest,3,
Services and Agencies,Arts and Culture,,Squamish Ocean Canoe Family,North Vancouver,BC,,,2-415 West Esplanade,,,V7M 1A6,778-228-7279,,,1-877-628-2288,,604-980-4523,,,,www.squamish.net,,Squamish Nation,squa-mish,Mainland/Southwest,3,
First Nations,First Nation Communities,,Squiala First Nation,Chilliwack,BC,,,8528 Ashwell Rd. W.,,,V2P 7Z9,604-792-8300,,,,,604-792-4522,,,,www.squiala.com,,Sto:lo Nation,skwai-all-a,Mainland/Southwest,3,574
Previous Name,First Nation Communities,,St. Mary's Band,Cranbrook,BC,,see ?aqam,,,,,,,,,,,,,,,,,,Unassigned,1,
First Nations,Tribal Councils/Affiliations,,St’át’imc Government Services,Lillooet,BC,,,PO Box 2218,"10 Scotchman Rd., 100 Mile House, BC V0K 2E3",,V0K 1V0,250-256-0425,,,,,,,,,http://statimc.ca/,,,sta-lee-um,Cariboo,6,
First Nations,Tribal Councils/Affiliations,,St'át imc Chiefs Council,Lillooet,BC,,(Lillooet Tribal Council),Box 1420,814 Highway 99,,V0K 1V0,250-256-7523,,,,,250-256-7119,,,,http://www.statimc.net/,,"11 communities of the St'át'imc Nation. These communities include Bridge River (Nxwisten), Pavilion (Ts’kw’áylaxw), Cayoose Creek (Sekw'el'was), Mt. Currie (Lil'wat), Seton Lake (Tsal'alh), Lillooet (T'it'q'et), Fountain (Xaxl'ip), Anderson Lake (N'quatqua), Douglas (Xa'xtsa), Skatin and Samahquam",sta-lee-um,Cariboo,6,
Services and Agencies,Legal Services,Restorative Justice,St'át imc Restorative Justice Project Corporation,Lillooet,BC,,,Box 2363,10 Paul St.,,V0K 1V0,250-256-7393,,250-256-7393,,,250-256-7343,,StatimcRJ@gmail.com,,,,,sta-lee-um,Cariboo,6,
First Nations,First Nation Communities,,Stellat'en First Nation,Fraser Lake,BC,,,PO Box 760,Stella Rd.,,V0J 1S0,250-699-8747,,,,,250-699-6430,,reception@stellatenfirstnation.ca,,http://www.stellaten.ca/,,Carrier Sekani Tribal Council,stull-a-tin,Nechako,8,613
Services and Agencies,"Employment, Job Search and Placement",,Stitsma Employment Centre,North Vancouver,BC,,,345 West 5th St.,,,V7M 1K2,604-985-7711,,,,,604-985-9870,,,,www.squamish.net,,"Eslha7an Employment and Training Center, Squamish Nation",schtitz-ma,Mainland/Southwest,3,
Services and Agencies,"Employment, Job Search and Placement",Aboriginal Skills and Employment Training Strategy (ASETS) Offices,Sto:lo Aboriginal Skills and Employment Training,Chilliwack,BC,,,Bldg 8A-7201 Vedder Rd.,,,V2R 4G5,604-858-3691,,,1-888-845-4455,,604-858-3528,,info@saset.ca,,www.saset.ca,http://saset.ca/contact/,Sto:lo Nation,staw-low,Mainland/Southwest,3,
Services and Agencies,Education,,Sto:lo Nation Community Development Department and Qwi:Qwelstom,Chilliwack,BC,,,Building 5-7201 Vedder Rd.,,,V2R 4G5,,,,,,,,,,www.stolonation.bc.ca,,Sto:lo Nation,staw-low,Mainland/Southwest,3,
Services and Agencies,Legal Services,,Sto:lo Nation Community Development Department and Qwi:Qwelstom,Chilliwack,BC,,,Bldg. 7 – 7201 Vedder Rd.,,,V2R 4G5,604-824-3200,,,1-877-847-3288,,604-824-0276,,,,www.stolonation.bc.ca,,Sto:lo Nation,staw-low,Mainland/Southwest,3,
Services and Agencies,Health Services,,Sto:lo Nation Health Services,Chilliwack,BC,,,Bldg. 7 – 7201 Vedder Rd.,,,V2R 4G5,604-824-3200,,,1-877-411-3200,,604-824-0276,,,,www.stolonation.bc.ca,,Sto:lo Nation,staw-low,Mainland/Southwest,3,
First Nations,Tribal Councils/Affiliations,,Sto:lo Nation Society,Chilliwack,BC,,,7201 Vedder Rd.,,,V2R 4G5,604-858-3366,,,1-800-565-6004,,604-824-5129,,,,www.stolonation.bc.ca,,"Aitchelitz, Leq'á:mel, Matsqui, Popkum, Skawahlook, Skowkale, Shxwha:y, Squiala, Sumas, Tzeachten, Yakweakwioose",staw-low,Mainland/Southwest,3,
First Nations,Tribal Councils/Affiliations,,Sto:lo Tribal Council,Agassiz,BC,,,PO Box 440,2855 Chowat Rd.,,V0M 1A0,604-796-0627,,,1-877-919-6500,,604-796-0643,,,,www.stolotribalcouncil.ca,,"Chawathil, Cheam, Kwantlen, Kwaw-kwaw-apilt, Scowlitz, Seabird Island, Shxw’owhamel and Soowahlie",staw-low,Mainland/Southwest,3,
First Nations,Treaty Offices,,Stó:lo Xwexwilmexw Treaty Association,Chilliwack,BC,,,Bldg. 8B – 7201 Vedder Rd.,,,V2R 4G5,604-858-3366,,,1-800-565-6004,,,,,,www.sxta.bc.ca,,"Stolo Nation, Stolo Tribal Council",,Mainland/Southwest,3,
Services and Agencies,Arts and Culture,,Stoney Creek Elders Cultural Society,Vanderhoof,BC,,,776 Kenny Dam Rd.,,,V0J 3A1,250-567-4916,,,,,250-567-4944,,,,,,Carrier Sekani Tribal Council,,Nechako,8,
First Nations,First Nation Communities,,Sts'ailes,Agassiz,BC,,Chehalis Indian Band,4690 Salish Way,,,V0M 1A1,604-796-2116,,,,,604-796-3946,,admin.reception@stsailes.com,,www.stsailes.com,,,sta-ay-liss,Mainland/Southwest,3,559
First Nations,First Nation Communities,,Stswecem'c -Xgat'tem First Nation,Dog Creek,BC,,Canoe Creek Band,General Delivery,,,V0L 1J0,250-440-5645,,,,,250-440-5679,,general@canoecreekband.ca,,http://canoecreekband.ca/,http://northernshuswaptribalcouncil.com/,"Northern Secwepemc te Qelmucw (NStQ), Northern Shuswap Tribal Council",St-wet-lem  hight-lem,Nechako,8,723
Services and Agencies,Education,,Stu''ate LeLum Secondary School,Ladysmith,BC,,,3951 Shellbeach Rd.,,,V9G 1K6,250-245-6650,,,,,250-245-8263,,,,,,Malaspina University College,stu-eight lay-lum,Vancouver Island/Coast,2,
First Nations,First Nation Communities,,Stz’uminus First Nation,Ladysmith,BC,,Chemainus First Nation,12611A Trans Canada Hwy,,,V9G 1M5,250-245-7155,,,,,250-245-3012,,,,www.stzuminus.com,,member Nation of the Hul’qumi’num Treaty Group and Naut’sa mawt Tribal Council,sha-main-us,Vancouver Island/Coast,2,641
First Nations,First Nation Communities,,Sumas First Nation,Abbotsford,BC,,,2788 Sumas Mtn Rd.,,,V3G 2J2,604-852-4041,,,,,604-852-4048,,,,,,Sto:lo Nation,sue-mas,Mainland/Southwest,3,578
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Surrounded by Cedar Child & Family Services,Victoria,BC,,,211 - 1497 Admirals Rd.,,,V9A 2P8,250-383-2990,,,,,250-383-2509,,,,www.surroundedbycedar.com,,,,Vancouver Island/Coast,2,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,Surrounded by Cedar Child & Family Services,Victoria,BC,,,211 - 1497 Admirals Rd.,,,V9A 2P8,250-383-2990,,,,,250-383-2509,,,,www.surroundedbycedar.com,,,,Vancouver Island/Coast,2,
Services and Agencies,Family and Youth Services,,Surrounded by Cedar Child & Family Services,Victoria,BC,,,211 - 1497 Admirals Rd.,,,V9A 2P8,250-383-2990,,,,,250-383-2509,,,,www.surroundedbycedar.com,,,,Vancouver Island/Coast,2,
First Nations,First Nation Communities,,Tahltan Band,Telegraph Creek,BC,,,PO Box 46,40 Sawtooth Rd.,,V0J 2W0,250-235-3151,,,,,250-235-3244,,,,www.tahltan.ca,,Tahltan Central Council,tall-tan,North Coast,7,682
